POSITION,NAME,TYPE,GROUP,PRICE,HOUSE_COST,MORTGAGE,RENT_SITE,RENT_1H,RENT_2H,RENT_3H,RENT_4H,RENT_HOTEL
0,GO,GO,NONE,0,0,0,,,,,,
1,MEDITERRANEAN AVENUE,STREET,BROWN,600000,500000,300000,20000,100000,300000,900000,1600000,2500000
2,COMMUNITY CHEST,COMMUNITY_CHEST,NONE,0,0,0,,,,,,
3,BALTIC AVENUE,STREET,BROWN,600000,500000,300000,40000,200000,600000,1800000,3200000,4500000
4,INCOME TAX,INCOME_TAX,NONE,0,0,0,,,,,,
5,READING RAILROAD,STATION,STATION,2000000,0,1000000,,,,,,
6,ORIENTAL AVENUE,STREET,LIGHT_BLUE,1000000,500000,500000,60000,300000,900000,2700000,4000000,5500000
7,CHANCE,CHANCE,NONE,0,0,0,,,,,,
8,VERMONT AVENUE,STREET,LIGHT_BLUE,1000000,500000,500000,60000,300000,900000,2700000,4000000,5500000
9,CONNECTICUT AVENUE,STREET,LIGHT_BLUE,1200000,500000,600000,80000,400000,1000000,3000000,4500000,6000000
10,JAIL,JAIL,NONE,0,0,0,,,,,,
11,ST. CHARLES PLACE,STREET,PINK,1400000,1000000,700000,100000,500000,1500000,4500000,6250000,7500000
12,ELECTRIC COMPANY,UTILITY,UTILITY,1500000,0,750000,,,,,,
13,STATES AVENUE,STREET,PINK,1400000,1000000,700000,100000,500000,1500000,4500000,6250000,7500000
14,VIRGINIA AVENUE,STREET,PINK,1600000,1000000,800000,120000,600000,1800000,5000000,7000000,9000000
15,PENNSYLVANIA RAILROAD,STATION,STATION,2000000,0,1000000,,,,,,
16,ST. JAMES PLACE,STREET,ORANGE,1800000,1000000,900000,140000,700000,2000000,5500000,7500000,9500000
17,COMMUNITY CHEST,COMMUNITY_CHEST,NONE,0,0,0,,,,,,
18,TENNESSEE AVENUE,STREET,ORANGE,1800000,1000000,900000,140000,700000,2000000,5500000,7500000,9500000
19,NEW YORK AVENUE,STREET,ORANGE,2000000,1000000,1000000,160000,800000,2200000,6000000,8000000,10000000
20,FREE PARKING,FREE_PARKING,NONE,0,0,0,,,,,,
21,KENTUCKY AVENUE,STREET,RED,2200000,1500000,1100000,180000,900000,2500000,7000000,8750000,10500000
22,CHANCE,CHANCE,NONE,0,0,0,,,,,,
23,INDIANA AVENUE,STREET,RED,2200000,1500000,1100000,180000,900000,2500000,7000000,8750000,10500000
24,ILLINOIS AVENUE,STREET,RED,2400000,1500000,1200000,200000,1000000,3000000,7500000,9250000,11000000
25,B&O RAILROAD,STATION,STATION,2000000,0,1000000,,,,,,
26,ATLANTIC AVENUE,STREET,YELLOW,2600000,1500000,1300000,220000,1100000,3300000,8000000,9750000,11500000
27,VENTNOR AVENUE,STREET,YELLOW,2600000,1500000,1300000,220000,1100000,3300000,8000000,9750000,11500000
28,WATER WORKS,UTILITY,UTILITY,1500000,0,750000,,,,,,
29,MARVIN GARDENS,STREET,YELLOW,2800000,1500000,1400000,240000,1200000,3600000,8500000,10250000,12000000
30,GO TO JAIL,GO_TO_JAIL,NONE,0,0,0,,,,,,
31,PACIFIC AVENUE,STREET,GREEN,3000000,2000000,1500000,260000,1300000,3900000,9000000,11000000,12750000
32,NORTH CAROLINA AVENUE,STREET,GREEN,3000000,2000000,1500000,260000,1300000,3900000,9000000,11000000,12750000
33,COMMUNITY CHEST,COMMUNITY_CHEST,NONE,0,0,0,,,,,,
34,PENNSYLVANIA AVENUE,STREET,GREEN,3200000,2000000,1600000,280000,1500000,4500000,10000000,12000000,14000000
35,SHORT LINE,STATION,STATION,2000000,0,1000000,,,,,,
36,CHANCE,CHANCE,NONE,0,0,0,,,,,,
37,PARK PLACE,STREET,DARK_BLUE,3500000,2000000,1750000,350000,1750000,5000000,11000000,13000000,15000000
38,LUXURY TAX,SUPER_TAX,NONE,0,0,0,,,,,,
39,BOARDWALK,STREET,DARK_BLUE,4000000,2000000,2000000,500000,2000000,6000000,14000000,17000000,20000000
